cell_type,group,rep,read,path
HB2,HB2_WT,1,R1,/home/u/sr467/scratch/projects/HiC-new-pipeline/data/HB2_WT-1-R1.fastq.gz
HB2,HB2_WT,1,R2,/home/u/sr467/scratch/projects/HiC-new-pipeline/data/HB2_WT-1-R2.fastq.gz
HB2,HB2_WT,2,R1,/home/u/sr467/scratch/projects/HiC-new-pipeline/data/HB2_WT-2-R1.fastq.gz
HB2,HB2_WT,2,R2,/home/u/sr467/scratch/projects/HiC-new-pipeline/data/HB2_WT-2-R2.fastq.gz
HB2,HB2_TSS_KO,1,R1,/home/u/sr467/scratch/projects/HiC-new-pipeline/data/HB2_TSS_KO-1-R1.fastq.gz
HB2,HB2_TSS_KO,1,R2,/home/u/sr467/scratch/projects/HiC-new-pipeline/data/HB2_TSS_KO-1-R2.fastq.gz
HB2,HB2_TSS_KO,2,R1,/home/u/sr467/scratch/projects/HiC-new-pipeline/data/HB2_TSS_KO-2-R1.fastq.gz
HB2,HB2_TSS_KO,2,R2,/home/u/sr467/scratch/projects/HiC-new-pipeline/data/HB2_TSS_KO-2-R2.fastq.gz
MCF7,MCF7,1,R1,/home/u/sr467/scratch/projects/HiC-new-pipeline/data/MCF7-1-R1.fastq.gz
MCF7,MCF7,1,R2,/home/u/sr467/scratch/projects/HiC-new-pipeline/data/MCF7-1-R2.fastq.gz
MCF7,MCF7,2,R1,/home/u/sr467/scratch/projects/HiC-new-pipeline/data/MCF7-2-R1.fastq.gz
MCF7,MCF7,2,R2,/home/u/sr467/scratch/projects/HiC-new-pipeline/data/MCF7-2-R2.fastq.gz
